Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,Cádiz,12 IMAGEN PERSONAL,20.0,BASICO
AMBOS SEXOS,Cádiz,Peluquería y estética,20.0,BASICO
AMBOS SEXOS,Cádiz,14 INDUSTRIAS ALIMENTARIAS,0.0,BASICO
AMBOS SEXOS,Cádiz,Industrias alimentarias,0.0,BASICO
AMBOS SEXOS,Cádiz,16 INFORMÁTICA Y COMUNICACIONES,103.0,BASICO
AMBOS SEXOS,Cádiz,Informática de oficina,15.0,BASICO
AMBOS SEXOS,Cádiz,Informática y comunicaciones,88.0,BASICO
AMBOS SEXOS,Cádiz,17 INSTALACIÓN Y MANTENIMIENTO,0.0,BASICO
AMBOS SEXOS,Cádiz,Mantenimiento de viviendas,0.0,BASICO
AMBOS SEXOS,Cádiz,"18 MADERA, MUEBLE Y CORCHO",19.0,BASICO
AMBOS SEXOS,Cádiz,Carpintería y mueble,19.0,BASICO
AMBOS SEXOS,Cádiz,19 MARÍTIMO-PESQUERA,0.0,BASICO
AMBOS SEXOS,Cádiz,Actividades marítimo-pesqueras,0.0,BASICO
AMBOS SEXOS,Cádiz,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,4.0,BASICO
AMBOS SEXOS,Cádiz,Actividades domésticas y limpieza de edificios,4.0,BASICO
AMBOS SEXOS,Cádiz,"24 TEXTIL, CONFECCIÓN Y PIEL",0.0,BASICO
AMBOS SEXOS,Cádiz,Arreglo y reparación de artículos textiles y de piel,0.0,BASICO
AMBOS SEXOS,Cádiz,Tapicería y cortinaje,0.0,BASICO
AMBOS SEXOS,Cádiz,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,37.0,BASICO
AMBOS SEXOS,Cádiz,Mantenimiento de embarcaciones deportivas y de recreo,0.0,BASICO
AMBOS SEXOS,Cádiz,Mantenimiento de vehículos,37.0,BASICO
AMBOS SEXOS,Cádiz,26 VIDRIO Y CERÁMICA,0.0,BASICO
AMBOS SEXOS,Cádiz,Vidriería y alfarería,0.0,BASICO
AMBOS SEXOS,Córdoba,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,0.0,BASICO
AMBOS SEXOS,Córdoba,Acceso y Conservación en Instalaciones Deportivas,0.0,BASICO
AMBOS SEXOS,Córdoba,02 ADMINISTRACIÓN Y GESTIÓN,102.0,BASICO
AMBOS SEXOS,Córdoba,Servicios administrativos,102.0,BASICO
AMBOS SEXOS,Córdoba,03 AGRARIA,41.0,BASICO
AMBOS SEXOS,Córdoba,Actividades agropecuarias,0.0,BASICO
AMBOS SEXOS,Córdoba,Agro-jardinería y composiciones florales,41.0,BASICO
AMBOS SEXOS,Córdoba,Aprovechamientos forestales,0.0,BASICO
AMBOS SEXOS,Córdoba,04 ARTES GRÁFICAS,0.0,BASICO
AMBOS SEXOS,Córdoba,Artes gráficas,0.0,BASICO
AMBOS SEXOS,Córdoba,06 COMERCIO Y MARKETING,5.0,BASICO
AMBOS SEXOS,Córdoba,Servicios comerciales,5.0,BASICO
AMBOS SEXOS,Córdoba,07 EDIFICACIÓN Y OBRA CIVIL,0.0,BASICO
AMBOS SEXOS,Córdoba,Reforma y mantenimiento de edificios,0.0,BASICO
AMBOS SEXOS,Córdoba,08 ELECTRICIDAD Y ELECTRÓNICA,77.0,BASICO
AMBOS SEXOS,Córdoba,Electricidad y electrónica,77.0,BASICO
AMBOS SEXOS,Córdoba,Instalaciones electrotécnicas y mecánica,0.0,BASICO
AMBOS SEXOS,Córdoba,10 FABRICACIÓN MECÁNICA,25.0,BASICO
AMBOS SEXOS,Córdoba,Fabricación de elementos metálicos,0.0,BASICO
AMBOS SEXOS,Córdoba,Fabricación y montaje,25.0,BASICO
AMBOS SEXOS,Córdoba,11 HOSTELERÍA Y TURISMO,19.0,BASICO
AMBOS SEXOS,Córdoba,Actividades de panadería y pastelería,0.0,BASICO
AMBOS SEXOS,Córdoba,Alojamiento y lavandería,0.0,BASICO
AMBOS SEXOS,Córdoba,Cocina y restauración,19.0,BASICO
AMBOS SEXOS,Córdoba,12 IMAGEN PERSONAL,29.0,BASICO
AMBOS SEXOS,Córdoba,Peluquería y estética,29.0,BASICO
AMBOS SEXOS,Córdoba,14 INDUSTRIAS ALIMENTARIAS,25.0,BASICO
AMBOS SEXOS,Córdoba,Industrias alimentarias,25.0,BASICO
AMBOS SEXOS,Córdoba,16 INFORMÁTICA Y COMUNICACIONES,89.0,BASICO
AMBOS SEXOS,Córdoba,Informática de oficina,36.0,BASICO
AMBOS SEXOS,Córdoba,Informática y comunicaciones,53.0,BASICO
AMBOS SEXOS,Córdoba,17 INSTALACIÓN Y MANTENIMIENTO,0.0,BASICO
AMBOS SEXOS,Córdoba,Mantenimiento de viviendas,0.0,BASICO
AMBOS SEXOS,Córdoba,"18 MADERA, MUEBLE Y CORCHO",15.0,BASICO
AMBOS SEXOS,Córdoba,Carpintería y mueble,15.0,BASICO
AMBOS SEXOS,Córdoba,19 MARÍTIMO-PESQUERA,0.0,BASICO
AMBOS SEXOS,Córdoba,Actividades marítimo-pesqueras,0.0,BASICO
AMBOS SEXOS,Córdoba,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,4.0,BASICO
AMBOS SEXOS,Córdoba,Actividades domésticas y limpieza de edificios,4.0,BASICO
AMBOS SEXOS,Córdoba,"24 TEXTIL, CONFECCIÓN Y PIEL",5.0,BASICO
AMBOS SEXOS,Córdoba,Arreglo y reparación de artículos textiles y de piel,5.0,BASICO
AMBOS SEXOS,Córdoba,Tapicería y cortinaje,0.0,BASICO
AMBOS SEXOS,Córdoba,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,28.0,BASICO
AMBOS SEXOS,Córdoba,Mantenimiento de embarcaciones deportivas y de recreo,0.0,BASICO
AMBOS SEXOS,Córdoba,Mantenimiento de vehículos,28.0,BASICO
AMBOS SEXOS,Córdoba,26 VIDRIO Y CERÁMICA,0.0,BASICO
AMBOS SEXOS,Córdoba,Vidriería y alfarería,0.0,BASICO
AMBOS SEXOS,Granada,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,0.0,BASICO
AMBOS SEXOS,Granada,Acceso y Conservación en Instalaciones Deportivas,0.0,BASICO
AMBOS SEXOS,Granada,02 ADMINISTRACIÓN Y GESTIÓN,79.0,BASICO
AMBOS SEXOS,Granada,Servicios administrativos,79.0,BASICO
AMBOS SEXOS,Granada,03 AGRARIA,33.0,BASICO
AMBOS SEXOS,Granada,Actividades agropecuarias,5.0,BASICO
AMBOS SEXOS,Granada,Agro-jardinería y composiciones florales,22.0,BASICO
AMBOS SEXOS,Granada,Aprovechamientos forestales,6.0,BASICO
AMBOS SEXOS,Granada,04 ARTES GRÁFICAS,4.0,BASICO
AMBOS SEXOS,Granada,Artes gráficas,4.0,BASICO
AMBOS SEXOS,Granada,06 COMERCIO Y MARKETING,19.0,BASICO
AMBOS SEXOS,Granada,Servicios comerciales,19.0,BASICO
AMBOS SEXOS,Granada,07 EDIFICACIÓN Y OBRA CIVIL,0.0,BASICO
AMBOS SEXOS,Granada,Reforma y mantenimiento de edificios,0.0,BASICO
AMBOS SEXOS,Granada,08 ELECTRICIDAD Y ELECTRÓNICA,82.0,BASICO
AMBOS SEXOS,Granada,Electricidad y electrónica,82.0,BASICO
AMBOS SEXOS,Granada,Instalaciones electrotécnicas y mecánica,0.0,BASICO
AMBOS SEXOS,Granada,10 FABRICACIÓN MECÁNICA,14.0,BASICO
AMBOS SEXOS,Granada,Fabricación de elementos metálicos,0.0,BASICO
AMBOS SEXOS,Granada,Fabricación y montaje,14.0,BASICO
AMBOS SEXOS,Granada,11 HOSTELERÍA Y TURISMO,26.0,BASICO
AMBOS SEXOS,Granada,Actividades de panadería y pastelería,0.0,BASICO
AMBOS SEXOS,Granada,Alojamiento y lavandería,7.0,BASICO
AMBOS SEXOS,Granada,Cocina y restauración,19.0,BASICO
AMBOS SEXOS,Granada,12 IMAGEN PERSONAL,49.0,BASICO
AMBOS SEXOS,Granada,Peluquería y estética,49.0,BASICO
AMBOS SEXOS,Granada,14 INDUSTRIAS ALIMENTARIAS,9.0,BASICO
AMBOS SEXOS,Granada,Industrias alimentarias,9.0,BASICO
AMBOS SEXOS,Granada,16 INFORMÁTICA Y COMUNICACIONES,68.0,BASICO
AMBOS SEXOS,Granada,Informática de oficina,5.0,BASICO
AMBOS SEXOS,Granada,Informática y comunicaciones,63.0,BASICO
AMBOS SEXOS,Granada,17 INSTALACIÓN Y MANTENIMIENTO,0.0,BASICO
AMBOS SEXOS,Granada,Mantenimiento de viviendas,0.0,BASICO
AMBOS SEXOS,Granada,"18 MADERA, MUEBLE Y CORCHO",10.0,BASICO
AMBOS SEXOS,Granada,Carpintería y mueble,10.0,BASICO
AMBOS SEXOS,Granada,19 MARÍTIMO-PESQUERA,0.0,BASICO
AMBOS SEXOS,Granada,Actividades marítimo-pesqueras,0.0,BASICO
AMBOS SEXOS,Granada,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,13.0,BASICO
AMBOS SEXOS,Granada,Actividades domésticas y limpieza de edificios,13.0,BASICO
AMBOS SEXOS,Granada,"24 TEXTIL, CONFECCIÓN Y PIEL",6.0,BASICO
AMBOS SEXOS,Granada,Arreglo y reparación de artículos textiles y de piel,0.0,BASICO
AMBOS SEXOS,Granada,Tapicería y cortinaje,6.0,BASICO
AMBOS SEXOS,Granada,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,39.0,BASICO
AMBOS SEXOS,Granada,Mantenimiento de embarcaciones deportivas y de recreo,0.0,BASICO
AMBOS SEXOS,Granada,Mantenimiento de vehículos,39.0,BASICO
AMBOS SEXOS,Granada,26 VIDRIO Y CERÁMICA,0.0,BASICO
AMBOS SEXOS,Granada,Vidriería y alfarería,0.0,BASICO
AMBOS SEXOS,Huelva,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,0.0,BASICO
AMBOS SEXOS,Huelva,Acceso y Conservación en Instalaciones Deportivas,0.0,BASICO
AMBOS SEXOS,Huelva,02 ADMINISTRACIÓN Y GESTIÓN,29.0,BASICO
AMBOS SEXOS,Huelva,Servicios administrativos,29.0,BASICO
AMBOS SEXOS,Huelva,03 AGRARIA,37.0,BASICO
AMBOS SEXOS,Huelva,Actividades agropecuarias,7.0,BASICO
AMBOS SEXOS,Huelva,Agro-jardinería y composiciones florales,24.0,BASICO
AMBOS SEXOS,Huelva,Aprovechamientos forestales,6.0,BASICO
AMBOS SEXOS,Huelva,04 ARTES GRÁFICAS,0.0,BASICO
AMBOS SEXOS,Huelva,Artes gráficas,0.0,BASICO
AMBOS SEXOS,Huelva,06 COMERCIO Y MARKETING,0.0,BASICO
AMBOS SEXOS,Huelva,Servicios comerciales,0.0,BASICO
AMBOS SEXOS,Huelva,07 EDIFICACIÓN Y OBRA CIVIL,0.0,BASICO
AMBOS SEXOS,Huelva,Reforma y mantenimiento de edificios,0.0,BASICO
AMBOS SEXOS,Huelva,08 ELECTRICIDAD Y ELECTRÓNICA,37.0,BASICO
AMBOS SEXOS,Huelva,Electricidad y electrónica,37.0,BASICO
AMBOS SEXOS,Huelva,Instalaciones electrotécnicas y mecánica,0.0,BASICO
AMBOS SEXOS,Huelva,10 FABRICACIÓN MECÁNICA,63.0,BASICO
AMBOS SEXOS,Huelva,Fabricación de elementos metálicos,0.0,BASICO
AMBOS SEXOS,Huelva,Fabricación y montaje,63.0,BASICO
AMBOS SEXOS,Huelva,11 HOSTELERÍA Y TURISMO,45.0,BASICO
AMBOS SEXOS,Huelva,Actividades de panadería y pastelería,0.0,BASICO
AMBOS SEXOS,Huelva,Alojamiento y lavandería,0.0,BASICO
AMBOS SEXOS,Huelva,Cocina y restauración,45.0,BASICO
AMBOS SEXOS,Huelva,12 IMAGEN PERSONAL,6.0,BASICO
AMBOS SEXOS,Huelva,Peluquería y estética,6.0,BASICO
AMBOS SEXOS,Huelva,14 INDUSTRIAS ALIMENTARIAS,13.0,BASICO
AMBOS SEXOS,Huelva,Industrias alimentarias,13.0,BASICO
AMBOS SEXOS,Huelva,16 INFORMÁTICA Y COMUNICACIONES,40.0,BASICO
AMBOS SEXOS,Huelva,Informática de oficina,9.0,BASICO
AMBOS SEXOS,Huelva,Informática y comunicaciones,31.0,BASICO
AMBOS SEXOS,Huelva,17 INSTALACIÓN Y MANTENIMIENTO,0.0,BASICO
AMBOS SEXOS,Huelva,Mantenimiento de viviendas,0.0,BASICO
AMBOS SEXOS,Huelva,"18 MADERA, MUEBLE Y CORCHO",4.0,BASICO
