Sexo;Comunidad autónoma/provincia (1);Ciclo formativo (2);Total
AMBOS SEXOS;Granada;Fabricación y ennoblecimiento de productos textiles;0
AMBOS SEXOS;Granada;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;100
AMBOS SEXOS;Granada;Carrocería;16
AMBOS SEXOS;Granada;Conducción de vehículos de transporte por carretera;0
AMBOS SEXOS;Granada;Electromecánica de maquinaria;0
AMBOS SEXOS;Granada;Electromecánica de vehículos automóviles;84
AMBOS SEXOS;Granada;Mantenimiento de material rodante ferroviario;0
AMBOS SEXOS;Granada;Mantenimiento de embarcaciones de recreo;0
AMBOS SEXOS;Granada;Mantenimiento de estructuras de madera y mobiliario de embarcaciones;0
AMBOS SEXOS;Granada;Montaje de estructuras e instalación de sistemas aeronáuticos;0
AMBOS SEXOS;Granada;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Granada;Fabricación de productos cerámicos;0
AMBOS SEXOS;Granada;Total de alumnado que terminó;3.598
AMBOS SEXOS;Granada;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;174
AMBOS SEXOS;Granada;Guía en el medio natural y de tiempo libre;160
AMBOS SEXOS;Granada;Actividades ecuestres;14
AMBOS SEXOS;Granada;02 ADMINISTRACIÓN Y GESTIÓN;483
AMBOS SEXOS;Granada;Gestión administrativa;483
AMBOS SEXOS;Granada;Administración y gestión (n.d.);0
AMBOS SEXOS;Granada;03 AGRARIA;57
AMBOS SEXOS;Granada;Aprovechamiento y conservación del medio natural;16
AMBOS SEXOS;Granada;Jardinería y floristería;25
AMBOS SEXOS;Granada;Producción agroecológica;16
AMBOS SEXOS;Granada;Producción agropecuaria;0
AMBOS SEXOS;Granada;04 ARTES GRÁFICAS;18
AMBOS SEXOS;Granada;Impresión gráfica;0
AMBOS SEXOS;Granada;Postimpresión y acabados gráficos;0
AMBOS SEXOS;Granada;Preimpresión digital;18
AMBOS SEXOS;Granada;06 COMERCIO Y MARKETING;329
AMBOS SEXOS;Granada;Actividades comerciales;329
AMBOS SEXOS;Granada;Comercialización de productos alimentarios;0
AMBOS SEXOS;Granada;07 EDIFICACIÓN Y OBRA CIVIL;0
AMBOS SEXOS;Granada;Construcción;0
AMBOS SEXOS;Granada;Obras de interior, decoración y rehabilitación;0
AMBOS SEXOS;Granada;08 ELECTRICIDAD Y ELECTRÓNICA;287
AMBOS SEXOS;Granada;Instalaciones de telecomunicaciones;98
AMBOS SEXOS;Granada;Instalaciones eléctricas y automáticas;189
AMBOS SEXOS;Granada;09 ENERGÍA Y AGUA;0
AMBOS SEXOS;Granada;Redes y estaciones de tratamiento de agua;0
AMBOS SEXOS;Huelva;10 FABRICACIÓN MECÁNICA;257
AMBOS SEXOS;Huelva;Conformado por moldeo de metales y polímeros;0
AMBOS SEXOS;Huelva;Joyería (LOGSE);0
AMBOS SEXOS;Huelva;Mecanizado;82
AMBOS SEXOS;Huelva;Soldadura y calderería;175
AMBOS SEXOS;Huelva;11 HOSTELERÍA Y TURISMO;161
AMBOS SEXOS;Huelva;Cocina y gastronomía;127
AMBOS SEXOS;Huelva;Servicios de restauración;34
AMBOS SEXOS;Huelva;12 IMAGEN PERSONAL;192
AMBOS SEXOS;Huelva;Estética y belleza;97
AMBOS SEXOS;Huelva;Peluquería y cosmética capilar;95
AMBOS SEXOS;Huelva;13 IMAGEN Y SONIDO;0
AMBOS SEXOS;Huelva;Vídeo, disc-jockey y sonido;0
AMBOS SEXOS;Huelva;14 INDUSTRIAS ALIMENTARIAS;42
AMBOS SEXOS;Huelva;Aceites de oliva y vinos;9
AMBOS SEXOS;Huelva;Elaboración de productos alimenticios;9
AMBOS SEXOS;Huelva;Panadería, repostería y confitería;24
AMBOS SEXOS;Huelva;15 INDUSTRIAS EXTRACTIVAS;0
AMBOS SEXOS;Huelva;Excavaciones y sondeos;0
AMBOS SEXOS;Huelva;Piedra natural;0
AMBOS SEXOS;Huelva;16 INFORMÁTICA Y COMUNICACIONES;264
AMBOS SEXOS;Huelva;Sistemas microinformáticos y redes;264
AMBOS SEXOS;Huelva;17 INSTALACIÓN Y MANTENIMIENTO;93
AMBOS SEXOS;Huelva;Instalaciones de producción de calor;8
AMBOS SEXOS;Huelva;Instalaciones frigoríficas y de climatización;77
AMBOS SEXOS;Huelva;Mantenimiento electromecánico;8
AMBOS SEXOS;Huelva;18 MADERA, MUEBLE Y CORCHO;25
AMBOS SEXOS;Huelva;Carpintería y mueble;0
AMBOS SEXOS;Huelva;Instalación y amueblamiento;25
AMBOS SEXOS;Huelva;19 MARÍTIMO-PESQUERA;49
AMBOS SEXOS;Huelva;Cultivos acuícolas;12
AMBOS SEXOS;Huelva;Mantenimiento y control de la maquinaria de buques y embarcaciones;16
AMBOS SEXOS;Huelva;Navegación y pesca de litoral;10
AMBOS SEXOS;Huelva;Operaciones subacuáticas y hiperbáricas;11
AMBOS SEXOS;Huelva;20 QUÍMICA;10
AMBOS SEXOS;Huelva;Operaciones de laboratorio;4
AMBOS SEXOS;Huelva;Planta química;6
AMBOS SEXOS;Huelva;21 SANIDAD;803
AMBOS SEXOS;Huelva;Cuidados auxiliares de enfermería (LOGSE);560
AMBOS SEXOS;Huelva;Emergencias sanitarias;67
AMBOS SEXOS;Huelva;Farmacia y parafarmacia;176
AMBOS SEXOS;Huelva;22 SEGURIDAD Y MEDIO AMBIENTE;0
AMBOS SEXOS;Huelva;Emergencias y protección civil;0
AMBOS SEXOS;Huelva;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;149
AMBOS SEXOS;Huelva;Atención a personas en situación de dependencia;149
AMBOS SEXOS;Huelva;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;Huelva;Calzado y complementos de moda;0
AMBOS SEXOS;Huelva;Confección y moda;0
AMBOS SEXOS;Jaén;Fabricación y ennoblecimiento de productos textiles;0
AMBOS SEXOS;Jaén;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;205
AMBOS SEXOS;Jaén;Carrocería;46
AMBOS SEXOS;Jaén;Conducción de vehículos de transporte por carretera;0
AMBOS SEXOS;Jaén;Electromecánica de maquinaria;0
AMBOS SEXOS;Jaén;Electromecánica de vehículos automóviles;149
AMBOS SEXOS;Jaén;Mantenimiento de material rodante ferroviario;0
AMBOS SEXOS;Jaén;Mantenimiento de embarcaciones de recreo;0
AMBOS SEXOS;Jaén;Mantenimiento de estructuras de madera y mobiliario de embarcaciones;0
AMBOS SEXOS;Jaén;Montaje de estructuras e instalación de sistemas aeronáuticos;10
AMBOS SEXOS;Jaén;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Jaén;Fabricación de productos cerámicos;0
AMBOS SEXOS;Jaén;Total de alumnado que terminó;2.662
AMBOS SEXOS;Jaén;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;237
AMBOS SEXOS;Jaén;Guía en el medio natural y de tiempo libre;225
AMBOS SEXOS;Jaén;Actividades ecuestres;12
AMBOS SEXOS;Jaén;02 ADMINISTRACIÓN Y GESTIÓN;279
AMBOS SEXOS;Jaén;Gestión administrativa;279
