Sexo;Comunidad autónoma/provincia (1);Ciclo formativo (2);Total
AMBOS SEXOS;01 ANDALUCÍA;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;510
AMBOS SEXOS;01 ANDALUCÍA;Automoción;451
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento Aeromecánico de Aviones con Motor de Turbina;34
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento de Sistemas Electrónicos y Aviónicos en Aeronaves;25
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento Aeromecánico de Helicópteros con Motor de Pistón;0
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento Aeromecánico de Helicópteros con Motor de Turbina;0
AMBOS SEXOS;01 ANDALUCÍA;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;01 ANDALUCÍA;Desarrollo y fabricación de productos cerámicos;0
AMBOS SEXOS;Almería;00 TOTAL;1.672
AMBOS SEXOS;Almería;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;172
AMBOS SEXOS;Almería;Enseñanza y animación sociodeportiva;92
AMBOS SEXOS;Almería;Acondicionamiento físico;80
AMBOS SEXOS;Almería;02 ADMINISTRACIÓN Y GESTIÓN;239
AMBOS SEXOS;Almería;Administración y finanzas;231
AMBOS SEXOS;Almería;Asistencia a la dirección;8
AMBOS SEXOS;Almería;03 AGRARIA;116
AMBOS SEXOS;Almería;Ganadería y asistencia en sanidad animal;0
AMBOS SEXOS;Almería;Gestión forestal y del medio natural;12
AMBOS SEXOS;Almería;Paisajismo y medio rural;104
AMBOS SEXOS;Almería;04 ARTES GRÁFICAS;0
AMBOS SEXOS;Almería;Diseño y edición de publicaciones impresas y multimedia;0
AMBOS SEXOS;Almería;Diseño y gestión de la producción gráfica;0
AMBOS SEXOS;Almería;05 ARTES Y ARTESANÍAS;0
AMBOS SEXOS;Almería;Artista fallero y construcción de escenografías;0
AMBOS SEXOS;Almería;06 COMERCIO Y MARKETING;88
AMBOS SEXOS;Almería;Comercio internacional;40
AMBOS SEXOS;Almería;Gestión de ventas y espacios comerciales;18
AMBOS SEXOS;Almería;Marketing y publicidad;14
AMBOS SEXOS;Almería;Transporte y logística;16
AMBOS SEXOS;Almería;07 EDIFICACIÓN Y OBRA CIVIL;8
AMBOS SEXOS;Almería;Organización y control de obras de construcción;0
AMBOS SEXOS;Almería;Proyectos de edificación;5
AMBOS SEXOS;Almería;Proyectos de obra civil;3
AMBOS SEXOS;Almería;08 ELECTRICIDAD Y ELECTRÓNICA;39
AMBOS SEXOS;Almería;Automatización y robótica industrial;0
AMBOS SEXOS;Almería;Electromedicina clínica;0
AMBOS SEXOS;Almería;Mantenimiento electrónico;7
AMBOS SEXOS;Almería;Sistemas de telecomunicaciones e informáticos;14
AMBOS SEXOS;Almería;Sistemas electrotécnicos y automatizados;18
AMBOS SEXOS;Almería;09 ENERGÍA Y AGUA;0
AMBOS SEXOS;Almería;Eficiencia energética y energía solar térmica;0
AMBOS SEXOS;Almería;Energías renovables;0
AMBOS SEXOS;Almería;Centrales eléctricas;0
AMBOS SEXOS;Almería;Gestión de agua;0
AMBOS SEXOS;Almería;10 FABRICACIÓN MECÁNICA;0
AMBOS SEXOS;Almería;Construcciones metálicas;0
AMBOS SEXOS;Almería;Diseño en fabricación mecánica;0
AMBOS SEXOS;Almería;Óptica de anteojería (LOGSE);0
AMBOS SEXOS;Almería;Programación de la producción en fabricación mecánica;0
AMBOS SEXOS;Almería;Programación de la producción en moldeo de metales y polímeros;0
AMBOS SEXOS;Almería;11 HOSTELERÍA Y TURISMO;101
AMBOS SEXOS;Almería;Agencias de viajes y gestión de eventos;16
AMBOS SEXOS;Almería;Dirección de cocina;38
AMBOS SEXOS;Almería;Dirección de servicios de restauración;12
AMBOS SEXOS;Almería;Gestión de alojamientos turísticos;13
AMBOS SEXOS;Almería;Guía, información y asistencias turísticas;22
AMBOS SEXOS;Almería;12 IMAGEN PERSONAL;27
AMBOS SEXOS;Almería;Asesoría de imagen personal y corporativa;0
AMBOS SEXOS;Almería;Caracterización y maquillaje profesional;13
AMBOS SEXOS;Almería;Estética integral y bienestar;12
AMBOS SEXOS;Almería;Estilismo y dirección de peluquería;2
AMBOS SEXOS;Almería;Termalismo y bienestar;0
AMBOS SEXOS;Almería;13 IMAGEN Y SONIDO;26
AMBOS SEXOS;Almería;Animaciones 3D, juegos y entornos interactivos;0
AMBOS SEXOS;Almería;Iluminación, captación y tratamiento de Imagen;0
AMBOS SEXOS;Almería;Producción de audiovisuales y espectáculos;9
AMBOS SEXOS;Almería;Realización de proyectos de audiovisuales y espectáculos;17
AMBOS SEXOS;Almería;Sonido para audiovisuales y espectáculos;0
AMBOS SEXOS;Almería;Imagen y sonido sin distribuir (para centros extranjeros);0
AMBOS SEXOS;Almería;14 INDUSTRIAS ALIMENTARIAS;22
AMBOS SEXOS;Almería;Procesos y calidad en la industria alimentaria;22
AMBOS SEXOS;Almería;Vitivinicultura;0
AMBOS SEXOS;Almería;16 INFORMÁTICA Y COMUNICACIONES;139
AMBOS SEXOS;Almería;Administración de sistemas informáticos en red;41
AMBOS SEXOS;Almería;Desarrollo de aplicaciones multiplataforma;34
AMBOS SEXOS;Almería;Desarrollo de aplicaciones web;64
AMBOS SEXOS;Almería;Informatica y comunicaciones sin distribuir (para centros extranjeros);0
AMBOS SEXOS;Almería;17 INSTALACIÓN Y MANTENIMIENTO;45
AMBOS SEXOS;Almería;Desarrollo de proyectos de instalaciones térmicas y de fluidos;0
AMBOS SEXOS;Almería;Mantenimiento de instalaciones térmicas y de fluidos;7
AMBOS SEXOS;Almería;Mecatrónica industrial;38
AMBOS SEXOS;Almería;18 MADERA, MUEBLE Y CORCHO;0
AMBOS SEXOS;Almería;Diseño y amueblamiento;0
AMBOS SEXOS;Almería;19 MARÍTIMO-PESQUERA;28
AMBOS SEXOS;Almería;Acuicultura;0
AMBOS SEXOS;Almería;Organización del mantenimiento de maquinaria de buques y embarcaciones;15
AMBOS SEXOS;Almería;Transporte marítimo y pesca de altura;13
AMBOS SEXOS;Almería;20 QUÍMICA;22
AMBOS SEXOS;Almería;Fabricación de Productos Farmaceuticos;0
AMBOS SEXOS;Almería;Laboratorio de análisis y de control de calidad;22
AMBOS SEXOS;Almería;Química industrial;0
AMBOS SEXOS;Almería;21 SANIDAD;284
AMBOS SEXOS;Almería;Anatomía patológica y citodiagnostico;47
AMBOS SEXOS;Almería;Audiología protésica;0
AMBOS SEXOS;Almería;Dietética (LOGSE);29
AMBOS SEXOS;Almería;Documentación y administración sanitaria;22
AMBOS SEXOS;Almería;Higiene bucodental;66
AMBOS SEXOS;Almería;Imagen para el diagnóstico y medicina nuclear;55
AMBOS SEXOS;Almería;Laboratorio clinico y biomédico;51
AMBOS SEXOS;Almería;Ortoprótesis y productos de apoyo;0
AMBOS SEXOS;Almería;Prótesis dentales;14
AMBOS SEXOS;Almería;Radioterampia y dosimetría;0
AMBOS SEXOS;Almería;22 SEGURIDAD Y MEDIO AMBIENTE;14
AMBOS SEXOS;Almería;Coordinación de emergencias y protección civil;0
AMBOS SEXOS;Almería;Educación y control ambiental;0
AMBOS SEXOS;Almería;Prevención de riesgos profesionales (LOGSE);5
AMBOS SEXOS;Almería;Química y salud ambiental;9
AMBOS SEXOS;Almería;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;247
AMBOS SEXOS;Almería;Animación sociocultural y turística;17
AMBOS SEXOS;Almería;Educación infantil;134
AMBOS SEXOS;Almería;Integración social;68
AMBOS SEXOS;Almería;Mediación comunicativa;14
AMBOS SEXOS;Almería;Promoción de igualdad de género;14
AMBOS SEXOS;Almería;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;Almería;Diseño y producción de calzado y complementos;0
AMBOS SEXOS;Almería;Patronaje y moda;0
AMBOS SEXOS;Almería;Vestuario a medida y de espectáculos;0
AMBOS SEXOS;Almería;Diseño Técnico en Textil y Piel;0
AMBOS SEXOS;Almería;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;55
AMBOS SEXOS;Almería;Automoción;55
AMBOS SEXOS;Almería;Mantenimiento Aeromecánico de Aviones con Motor de Turbina;0
AMBOS SEXOS;Almería;Mantenimiento de Sistemas Electrónicos y Aviónicos en Aeronaves;0
AMBOS SEXOS;Almería;Mantenimiento Aeromecánico de Helicópteros con Motor de Pistón;0
AMBOS SEXOS;Almería;Mantenimiento Aeromecánico de Helicópteros con Motor de Turbina;0
AMBOS SEXOS;Almería;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Almería;Desarrollo y fabricación de productos cerámicos;0
AMBOS SEXOS;Cádiz;00 TOTAL;3.856
AMBOS SEXOS;Cádiz;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;307
AMBOS SEXOS;Cádiz;Enseñanza y animación sociodeportiva;202
AMBOS SEXOS;Cádiz;Acondicionamiento físico;105
AMBOS SEXOS;Cádiz;02 ADMINISTRACIÓN Y GESTIÓN;537
AMBOS SEXOS;Cádiz;Administración y finanzas;394
AMBOS SEXOS;Cádiz;Asistencia a la dirección;143
AMBOS SEXOS;Cádiz;03 AGRARIA;51
AMBOS SEXOS;Cádiz;Ganadería y asistencia en sanidad animal;17
AMBOS SEXOS;Cádiz;Gestión forestal y del medio natural;34
AMBOS SEXOS;Cádiz;Paisajismo y medio rural;0
AMBOS SEXOS;Cádiz;04 ARTES GRÁFICAS;17
AMBOS SEXOS;Cádiz;Diseño y edición de publicaciones impresas y multimedia;17
AMBOS SEXOS;Cádiz;Diseño y gestión de la producción gráfica;0
AMBOS SEXOS;Cádiz;05 ARTES Y ARTESANÍAS;0
