Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,Cádiz,02 ADMINISTRACIÓN Y GESTIÓN,191.0,MEDIO
AMBOS SEXOS,Cádiz,Gestión administrativa,191.0,MEDIO
AMBOS SEXOS,Cádiz,Administración y gestión (n.d.),0.0,MEDIO
AMBOS SEXOS,Cádiz,03 AGRARIA,128.0,MEDIO
AMBOS SEXOS,Cádiz,Aprovechamiento y conservación del medio natural,26.0,MEDIO
AMBOS SEXOS,Cádiz,Jardinería y floristería,26.0,MEDIO
AMBOS SEXOS,Cádiz,Producción agroecológica,42.0,MEDIO
AMBOS SEXOS,Cádiz,Producción agropecuaria,34.0,MEDIO
AMBOS SEXOS,Cádiz,04 ARTES GRÁFICAS,0.0,MEDIO
AMBOS SEXOS,Cádiz,Impresión gráfica,0.0,MEDIO
AMBOS SEXOS,Cádiz,Postimpresión y acabados gráficos,0.0,MEDIO
AMBOS SEXOS,Cádiz,Preimpresión digital,0.0,MEDIO
AMBOS SEXOS,Cádiz,06 COMERCIO Y MARKETING,47.0,MEDIO
AMBOS SEXOS,Cádiz,Actividades comerciales,47.0,MEDIO
AMBOS SEXOS,Córdoba,Comercialización de productos alimentarios,0.0,MEDIO
AMBOS SEXOS,Córdoba,07 EDIFICACIÓN Y OBRA CIVIL,4.0,MEDIO
AMBOS SEXOS,Córdoba,Construcción,0.0,MEDIO
AMBOS SEXOS,Córdoba,"Obras de interior, decoración y rehabilitación",4.0,MEDIO
AMBOS SEXOS,Córdoba,08 ELECTRICIDAD Y ELECTRÓNICA,59.0,MEDIO
AMBOS SEXOS,Córdoba,Instalaciones de telecomunicaciones,14.0,MEDIO
AMBOS SEXOS,Córdoba,Instalaciones eléctricas y automáticas,45.0,MEDIO
AMBOS SEXOS,Córdoba,09 ENERGÍA Y AGUA,0.0,MEDIO
AMBOS SEXOS,Córdoba,Redes y estaciones de tratamiento de agua,0.0,MEDIO
AMBOS SEXOS,Córdoba,10 FABRICACIÓN MECÁNICA,25.0,MEDIO
AMBOS SEXOS,Córdoba,Conformado por moldeo de metales y polímeros,0.0,MEDIO
AMBOS SEXOS,Córdoba,Joyería (LOGSE),0.0,MEDIO
