Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Comunitat Valenciana,"MADERA, MUEBLE Y CORCHO",72.0,MEDIO
AMBOS SEXOS,Comunitat Valenciana,MARÍTIMO-PESQUERA,84.3,MEDIO
AMBOS SEXOS,Comunitat Valenciana,QUÍMICA,78.2,MEDIO
AMBOS SEXOS,Comunitat Valenciana,SANIDAD,83.2,MEDIO
AMBOS SEXOS,Comunitat Valenciana,SEGURIDAD Y MEDIO AMBIENTE,81.8,MEDIO
AMBOS SEXOS,Comunitat Valenciana,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,86.5,MEDIO
AMBOS SEXOS,Comunitat Valenciana,"TEXTIL, CONFECCIÓN Y PIEL",88.2,MEDIO
AMBOS SEXOS,Comunitat Valenciana,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,75.3,MEDIO
AMBOS SEXOS,Comunitat Valenciana,VIDRIO Y CERÁMICA,74.4,MEDIO
AMBOS SEXOS,Extremadura,ACTIVIDADES FÍSICAS Y DEPORTIVAS,84.2,MEDIO
AMBOS SEXOS,Extremadura,ADMINISTRACIÓN Y GESTIÓN,77.7,MEDIO
AMBOS SEXOS,Extremadura,AGRARIA,83.5,MEDIO
AMBOS SEXOS,Extremadura,ARTES GRÁFICAS,92.1,MEDIO
AMBOS SEXOS,Extremadura,ARTES Y ARTESANÍAS,,MEDIO
AMBOS SEXOS,Extremadura,COMERCIO Y MARKETING,84.2,MEDIO
AMBOS SEXOS,Extremadura,EDIFICACIÓN Y OBRA CIVIL,75.0,MEDIO
AMBOS SEXOS,Extremadura,ELECTRICIDAD Y ELECTRÓNICA,71.5,MEDIO
AMBOS SEXOS,Extremadura,ENERGÍA Y AGUA,,MEDIO
AMBOS SEXOS,Extremadura,FABRICACIÓN MECÁNICA,77.7,MEDIO
AMBOS SEXOS,Extremadura,HOSTELERÍA Y TURISMO,67.1,MEDIO
AMBOS SEXOS,Extremadura,IMAGEN PERSONAL,84.6,MEDIO
AMBOS SEXOS,Extremadura,IMAGEN Y SONIDO,,MEDIO
AMBOS SEXOS,Extremadura,INDUSTRIAS ALIMENTARIAS,81.6,MEDIO
AMBOS SEXOS,Extremadura,INDUSTRIAS EXTRACTIVAS,,MEDIO
AMBOS SEXOS,Extremadura,INFORMÁTICA Y COMUNICACIONES,81.6,MEDIO
AMBOS SEXOS,Extremadura,INSTALACIÓN Y MANTENIMIENTO,71.3,MEDIO
AMBOS SEXOS,Extremadura,"MADERA, MUEBLE Y CORCHO",74.7,MEDIO
AMBOS SEXOS,Extremadura,MARÍTIMO-PESQUERA,,MEDIO
AMBOS SEXOS,Extremadura,QUÍMICA,70.1,MEDIO
AMBOS SEXOS,Extremadura,SANIDAD,86.1,MEDIO
AMBOS SEXOS,Extremadura,SEGURIDAD Y MEDIO AMBIENTE,88.1,MEDIO
AMBOS SEXOS,Extremadura,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,88.6,MEDIO
AMBOS SEXOS,Extremadura,"TEXTIL, CONFECCIÓN Y PIEL",,MEDIO
AMBOS SEXOS,Extremadura,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,68.8,MEDIO
AMBOS SEXOS,Extremadura,VIDRIO Y CERÁMICA,,MEDIO
AMBOS SEXOS,Galicia,ACTIVIDADES FÍSICAS Y DEPORTIVAS,86.3,MEDIO
AMBOS SEXOS,Galicia,ADMINISTRACIÓN Y GESTIÓN,73.4,MEDIO
AMBOS SEXOS,Galicia,AGRARIA,85.6,MEDIO
AMBOS SEXOS,Galicia,ARTES GRÁFICAS,76.9,MEDIO
AMBOS SEXOS,Galicia,ARTES Y ARTESANÍAS,,MEDIO
AMBOS SEXOS,Galicia,COMERCIO Y MARKETING,84.1,MEDIO
AMBOS SEXOS,Galicia,EDIFICACIÓN Y OBRA CIVIL,72.2,MEDIO
AMBOS SEXOS,Galicia,ELECTRICIDAD Y ELECTRÓNICA,71.8,MEDIO
AMBOS SEXOS,Galicia,ENERGÍA Y AGUA,100.0,MEDIO
AMBOS SEXOS,Galicia,FABRICACIÓN MECÁNICA,70.4,MEDIO
AMBOS SEXOS,Galicia,HOSTELERÍA Y TURISMO,77.5,MEDIO
AMBOS SEXOS,Galicia,IMAGEN PERSONAL,80.5,MEDIO
AMBOS SEXOS,Galicia,IMAGEN Y SONIDO,80.1,MEDIO
AMBOS SEXOS,Galicia,INDUSTRIAS ALIMENTARIAS,80.3,MEDIO
AMBOS SEXOS,Galicia,INDUSTRIAS EXTRACTIVAS,,MEDIO
AMBOS SEXOS,Galicia,INFORMÁTICA Y COMUNICACIONES,76.2,MEDIO
AMBOS SEXOS,Galicia,INSTALACIÓN Y MANTENIMIENTO,68.7,MEDIO
AMBOS SEXOS,Galicia,"MADERA, MUEBLE Y CORCHO",77.1,MEDIO
AMBOS SEXOS,Galicia,MARÍTIMO-PESQUERA,82.5,MEDIO
AMBOS SEXOS,Galicia,QUÍMICA,70.2,MEDIO
AMBOS SEXOS,Galicia,SANIDAD,87.3,MEDIO
AMBOS SEXOS,Galicia,SEGURIDAD Y MEDIO AMBIENTE,,MEDIO
AMBOS SEXOS,Galicia,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,88.8,MEDIO
AMBOS SEXOS,Galicia,"TEXTIL, CONFECCIÓN Y PIEL",88.2,MEDIO
AMBOS SEXOS,Galicia,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,74.5,MEDIO
AMBOS SEXOS,Galicia,VIDRIO Y CERÁMICA,,MEDIO
AMBOS SEXOS,Comunidad de Madrid,ACTIVIDADES FÍSICAS Y DEPORTIVAS,82.7,MEDIO
AMBOS SEXOS,Comunidad de Madrid,ADMINISTRACIÓN Y GESTIÓN,75.3,MEDIO
AMBOS SEXOS,Comunidad de Madrid,AGRARIA,67.0,MEDIO
AMBOS SEXOS,Comunidad de Madrid,ARTES GRÁFICAS,78.0,MEDIO
AMBOS SEXOS,Comunidad de Madrid,ARTES Y ARTESANÍAS,,MEDIO
AMBOS SEXOS,Comunidad de Madrid,COMERCIO Y MARKETING,82.1,MEDIO
AMBOS SEXOS,Comunidad de Madrid,EDIFICACIÓN Y OBRA CIVIL,86.8,MEDIO
AMBOS SEXOS,Comunidad de Madrid,ELECTRICIDAD Y ELECTRÓNICA,73.1,MEDIO
AMBOS SEXOS,Comunidad de Madrid,ENERGÍA Y AGUA,41.3,MEDIO
AMBOS SEXOS,Comunidad de Madrid,FABRICACIÓN MECÁNICA,56.2,MEDIO
AMBOS SEXOS,Comunidad de Madrid,HOSTELERÍA Y TURISMO,69.0,MEDIO
AMBOS SEXOS,Comunidad de Madrid,IMAGEN PERSONAL,75.8,MEDIO
