Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Comunitat Valenciana,COMERCIO Y MARKETING,78.6,BASICO
AMBOS SEXOS,Comunitat Valenciana,EDIFICACIÓN Y OBRA CIVIL,65.6,BASICO
AMBOS SEXOS,Comunitat Valenciana,ELECTRICIDAD Y ELECTRÓNICA,75.3,BASICO
AMBOS SEXOS,Comunitat Valenciana,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Comunitat Valenciana,FABRICACIÓN MECÁNICA,74.3,BASICO
AMBOS SEXOS,Comunitat Valenciana,HOSTELERÍA Y TURISMO,76.2,BASICO
AMBOS SEXOS,Comunitat Valenciana,IMAGEN PERSONAL,75.9,BASICO
AMBOS SEXOS,Comunitat Valenciana,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Comunitat Valenciana,INDUSTRIAS ALIMENTARIAS,84.2,BASICO
AMBOS SEXOS,Comunitat Valenciana,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Comunitat Valenciana,INFORMÁTICA Y COMUNICACIONES,79.9,BASICO
AMBOS SEXOS,Comunitat Valenciana,INSTALACIÓN Y MANTENIMIENTO,67.2,BASICO
AMBOS SEXOS,Comunitat Valenciana,"MADERA, MUEBLE Y CORCHO",76.8,BASICO
AMBOS SEXOS,Comunitat Valenciana,MARÍTIMO-PESQUERA,61.0,BASICO
AMBOS SEXOS,Comunitat Valenciana,QUÍMICA,,BASICO
AMBOS SEXOS,Comunitat Valenciana,SANIDAD,,BASICO
AMBOS SEXOS,Comunitat Valenciana,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Comunitat Valenciana,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,57.7,BASICO
AMBOS SEXOS,Comunitat Valenciana,"TEXTIL, CONFECCIÓN Y PIEL",77.6,BASICO
AMBOS SEXOS,Comunitat Valenciana,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,78.4,BASICO
AMBOS SEXOS,Comunitat Valenciana,VIDRIO Y CERÁMICA,81.5,BASICO
AMBOS SEXOS,Extremadura,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
AMBOS SEXOS,Extremadura,ADMINISTRACIÓN Y GESTIÓN,73.6,BASICO
AMBOS SEXOS,Extremadura,AGRARIA,76.2,BASICO
AMBOS SEXOS,Extremadura,ARTES GRÁFICAS,72.3,BASICO
AMBOS SEXOS,Extremadura,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Extremadura,COMERCIO Y MARKETING,74.5,BASICO
AMBOS SEXOS,Extremadura,EDIFICACIÓN Y OBRA CIVIL,75.1,BASICO
AMBOS SEXOS,Extremadura,ELECTRICIDAD Y ELECTRÓNICA,68.5,BASICO
AMBOS SEXOS,Extremadura,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Extremadura,FABRICACIÓN MECÁNICA,67.9,BASICO
AMBOS SEXOS,Extremadura,HOSTELERÍA Y TURISMO,69.7,BASICO
AMBOS SEXOS,Extremadura,IMAGEN PERSONAL,64.9,BASICO
AMBOS SEXOS,Extremadura,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Extremadura,INDUSTRIAS ALIMENTARIAS,78.6,BASICO
AMBOS SEXOS,Extremadura,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Extremadura,INFORMÁTICA Y COMUNICACIONES,63.3,BASICO
AMBOS SEXOS,Extremadura,INSTALACIÓN Y MANTENIMIENTO,,BASICO
AMBOS SEXOS,Extremadura,"MADERA, MUEBLE Y CORCHO",60.0,BASICO
AMBOS SEXOS,Extremadura,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Extremadura,QUÍMICA,,BASICO
AMBOS SEXOS,Extremadura,SANIDAD,,BASICO
AMBOS SEXOS,Extremadura,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Extremadura,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,98.7,BASICO
AMBOS SEXOS,Extremadura,"TEXTIL, CONFECCIÓN Y PIEL",,BASICO
AMBOS SEXOS,Extremadura,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,65.0,BASICO
AMBOS SEXOS,Extremadura,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Galicia,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
AMBOS SEXOS,Galicia,ADMINISTRACIÓN Y GESTIÓN,80.2,BASICO
AMBOS SEXOS,Galicia,AGRARIA,79.5,BASICO
AMBOS SEXOS,Galicia,ARTES GRÁFICAS,81.6,BASICO
AMBOS SEXOS,Galicia,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Galicia,COMERCIO Y MARKETING,81.8,BASICO
AMBOS SEXOS,Galicia,EDIFICACIÓN Y OBRA CIVIL,67.7,BASICO
AMBOS SEXOS,Galicia,ELECTRICIDAD Y ELECTRÓNICA,76.1,BASICO
AMBOS SEXOS,Galicia,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Galicia,FABRICACIÓN MECÁNICA,76.3,BASICO
AMBOS SEXOS,Galicia,HOSTELERÍA Y TURISMO,84.4,BASICO
AMBOS SEXOS,Galicia,IMAGEN PERSONAL,70.8,BASICO
AMBOS SEXOS,Galicia,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Galicia,INDUSTRIAS ALIMENTARIAS,85.3,BASICO
AMBOS SEXOS,Galicia,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Galicia,INFORMÁTICA Y COMUNICACIONES,81.7,BASICO
AMBOS SEXOS,Galicia,INSTALACIÓN Y MANTENIMIENTO,69.6,BASICO
AMBOS SEXOS,Galicia,"MADERA, MUEBLE Y CORCHO",74.4,BASICO
AMBOS SEXOS,Galicia,MARÍTIMO-PESQUERA,88.2,BASICO
AMBOS SEXOS,Galicia,QUÍMICA,,BASICO
AMBOS SEXOS,Galicia,SANIDAD,,BASICO
AMBOS SEXOS,Galicia,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Galicia,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,95.9,BASICO
AMBOS SEXOS,Galicia,"TEXTIL, CONFECCIÓN Y PIEL",53.2,BASICO
AMBOS SEXOS,Galicia,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,70.3,BASICO
AMBOS SEXOS,Galicia,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Comunidad de Madrid,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
