Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
Hombres,Andalucía,"TEXTIL, CONFECCIÓN Y PIEL",78.0,BASICO
Hombres,Andalucía,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,69.8,BASICO
Hombres,Andalucía,VIDRIO Y CERÁMICA,83.8,BASICO
Hombres,Aragón,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
Hombres,Aragón,ADMINISTRACIÓN Y GESTIÓN,69.9,BASICO
Hombres,Aragón,AGRARIA,71.8,BASICO
Hombres,Aragón,ARTES GRÁFICAS,58.8,BASICO
Hombres,Aragón,ARTES Y ARTESANÍAS,,BASICO
Hombres,Aragón,COMERCIO Y MARKETING,75.6,BASICO
Hombres,Aragón,EDIFICACIÓN Y OBRA CIVIL,90.8,BASICO
Hombres,Aragón,ELECTRICIDAD Y ELECTRÓNICA,59.8,BASICO
Hombres,Aragón,ENERGÍA Y AGUA,,BASICO
Hombres,Aragón,FABRICACIÓN MECÁNICA,75.2,BASICO
Hombres,Aragón,HOSTELERÍA Y TURISMO,72.6,BASICO
Hombres,Aragón,IMAGEN PERSONAL,58.1,BASICO
Hombres,Aragón,IMAGEN Y SONIDO,,BASICO
Hombres,Aragón,INDUSTRIAS ALIMENTARIAS,66.4,BASICO
Hombres,Aragón,INDUSTRIAS EXTRACTIVAS,,BASICO
Hombres,Aragón,INFORMÁTICA Y COMUNICACIONES,72.1,BASICO
Hombres,Aragón,INSTALACIÓN Y MANTENIMIENTO,47.1,BASICO
Hombres,Aragón,"MADERA, MUEBLE Y CORCHO",70.1,BASICO
Hombres,Aragón,MARÍTIMO-PESQUERA,,BASICO
Hombres,Aragón,QUÍMICA,,BASICO
Hombres,Aragón,SANIDAD,,BASICO
Hombres,Aragón,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
Hombres,Aragón,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,,BASICO
Hombres,Aragón,"TEXTIL, CONFECCIÓN Y PIEL",47.6,BASICO
Hombres,Aragón,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,72.5,BASICO
Hombres,Aragón,VIDRIO Y CERÁMICA,,BASICO
