Sexo;Comunidad autónoma/provincia;Ciclo formativo (1);Total
AMBOS SEXOS;Granada;06 COMERCIO Y MARKETING;19
AMBOS SEXOS;Granada;Servicios comerciales;19
AMBOS SEXOS;Granada;07 EDIFICACIÓN Y OBRA CIVIL;0
AMBOS SEXOS;Granada;Reforma y mantenimiento de edificios;0
AMBOS SEXOS;Granada;08 ELECTRICIDAD Y ELECTRÓNICA;82
AMBOS SEXOS;Granada;Electricidad y electrónica;82
AMBOS SEXOS;Granada;Instalaciones electrotécnicas y mecánica;0
AMBOS SEXOS;Granada;10 FABRICACIÓN MECÁNICA;14
AMBOS SEXOS;Granada;Fabricación de elementos metálicos;0
AMBOS SEXOS;Granada;Fabricación y montaje;14
AMBOS SEXOS;Granada;11 HOSTELERÍA Y TURISMO;26
AMBOS SEXOS;Granada;Actividades de panadería y pastelería;0
AMBOS SEXOS;Granada;Alojamiento y lavandería;7
AMBOS SEXOS;Granada;Cocina y restauración;19
AMBOS SEXOS;Granada;12 IMAGEN PERSONAL;49
AMBOS SEXOS;Granada;Peluquería y estética;49
AMBOS SEXOS;Granada;14 INDUSTRIAS ALIMENTARIAS;9
AMBOS SEXOS;Granada;Industrias alimentarias;9
AMBOS SEXOS;Granada;16 INFORMÁTICA Y COMUNICACIONES;68
AMBOS SEXOS;Granada;Informática de oficina;5
AMBOS SEXOS;Granada;Informática y comunicaciones;63
AMBOS SEXOS;Granada;17 INSTALACIÓN Y MANTENIMIENTO;0
AMBOS SEXOS;Granada;Mantenimiento de viviendas;0
AMBOS SEXOS;Granada;18 MADERA, MUEBLE Y CORCHO;10
AMBOS SEXOS;Granada;Carpintería y mueble;10
AMBOS SEXOS;Granada;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Granada;Actividades marítimo-pesqueras;0
AMBOS SEXOS;Granada;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;13
AMBOS SEXOS;Granada;Actividades domésticas y limpieza de edificios;13
AMBOS SEXOS;Granada;24 TEXTIL, CONFECCIÓN Y PIEL;6
AMBOS SEXOS;Granada;Arreglo y reparación de artículos textiles y de piel;0
AMBOS SEXOS;Granada;Tapicería y cortinaje;6
AMBOS SEXOS;Granada;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;39
AMBOS SEXOS;Granada;Mantenimiento de embarcaciones deportivas y de recreo;0
AMBOS SEXOS;Granada;Mantenimiento de vehículos;39
AMBOS SEXOS;Granada;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Granada;Vidriería y alfarería;0
AMBOS SEXOS;Huelva;00 TOTAL;303
AMBOS SEXOS;Huelva;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
AMBOS SEXOS;Huelva;Acceso y Conservación en Instalaciones Deportivas;0
AMBOS SEXOS;Huelva;02 ADMINISTRACIÓN Y GESTIÓN;29
AMBOS SEXOS;Huelva;Servicios administrativos;29
AMBOS SEXOS;Huelva;03 AGRARIA;37
AMBOS SEXOS;Huelva;Actividades agropecuarias;7
AMBOS SEXOS;Huelva;Agro-jardinería y composiciones florales;24
AMBOS SEXOS;Huelva;Aprovechamientos forestales;6
AMBOS SEXOS;Huelva;04 ARTES GRÁFICAS;0
AMBOS SEXOS;Huelva;Artes gráficas;0
AMBOS SEXOS;Huelva;06 COMERCIO Y MARKETING;0
AMBOS SEXOS;Huelva;Servicios comerciales;0
AMBOS SEXOS;Huelva;07 EDIFICACIÓN Y OBRA CIVIL;0
AMBOS SEXOS;Huelva;Reforma y mantenimiento de edificios;0
AMBOS SEXOS;Huelva;08 ELECTRICIDAD Y ELECTRÓNICA;37
AMBOS SEXOS;Huelva;Electricidad y electrónica;37
AMBOS SEXOS;Huelva;Instalaciones electrotécnicas y mecánica;0
AMBOS SEXOS;Huelva;10 FABRICACIÓN MECÁNICA;63
AMBOS SEXOS;Huelva;Fabricación de elementos metálicos;0
AMBOS SEXOS;Huelva;Fabricación y montaje;63
AMBOS SEXOS;Huelva;11 HOSTELERÍA Y TURISMO;45
AMBOS SEXOS;Huelva;Actividades de panadería y pastelería;0
