Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,Granada,Caracterización y maquillaje profesional,13.0,SUPERIOR
AMBOS SEXOS,Granada,Estética integral y bienestar,12.0,SUPERIOR
AMBOS SEXOS,Huelva,Estilismo y dirección de peluquería,2.0,SUPERIOR
AMBOS SEXOS,Huelva,Termalismo y bienestar,0.0,SUPERIOR
AMBOS SEXOS,Huelva,13 IMAGEN Y SONIDO,26.0,SUPERIOR
AMBOS SEXOS,Huelva,"Animaciones 3D, juegos y entornos interactivos",0.0,SUPERIOR
AMBOS SEXOS,Huelva,"Iluminación, captación y tratamiento de Imagen",0.0,SUPERIOR
AMBOS SEXOS,Huelva,Producción de audiovisuales y espectáculos,9.0,SUPERIOR
AMBOS SEXOS,Huelva,Realización de proyectos de audiovisuales y espectáculos,17.0,SUPERIOR
AMBOS SEXOS,Huelva,Sonido para audiovisuales y espectáculos,0.0,SUPERIOR
AMBOS SEXOS,Huelva,Imagen y sonido sin distribuir (para centros extranjeros),0.0,SUPERIOR
AMBOS SEXOS,Huelva,14 INDUSTRIAS ALIMENTARIAS,22.0,SUPERIOR
AMBOS SEXOS,Huelva,Procesos y calidad en la industria alimentaria,22.0,SUPERIOR
AMBOS SEXOS,Huelva,Vitivinicultura,0.0,SUPERIOR
