Nivel_Real,Nivel_Predicho,Correcto,Comunidad_Autonoma,Familia_Profesional,Sexo,Porcentaje
MEDIO,SUPERIOR,False,Canarias,ARTES GRÁFICAS,Hombres,78.9
SUPERIOR,SUPERIOR,True,Canarias,COMERCIO Y MARKETING,Hombres,90.8
MEDIO,MEDIO,True,Canarias,EDIFICACIÓN Y OBRA CIVIL,Hombres,81.2
SUPERIOR,SUPERIOR,True,Canarias,ELECTRICIDAD Y ELECTRÓNICA,Hombres,85.9
MEDIO,SUPERIOR,False,Canarias,ENERGÍA Y AGUA,Hombres,87.2
SUPERIOR,SUPERIOR,True,Canarias,FABRICACIÓN MECÁNICA,Hombres,74.0
BASICO,SUPERIOR,False,Canarias,HOSTELERÍA Y TURISMO,Hombres,84.8
SUPERIOR,MEDIO,False,Canarias,IMAGEN PERSONAL,Hombres,90.4
SUPERIOR,SUPERIOR,True,Canarias,IMAGEN Y SONIDO,Hombres,88.2
SUPERIOR,MEDIO,False,Canarias,INDUSTRIAS ALIMENTARIAS,Hombres,79.8
MEDIO,BASICO,False,Canarias,INFORMÁTICA Y COMUNICACIONES,Hombres,77.0
MEDIO,SUPERIOR,False,Canarias,INSTALACIÓN Y MANTENIMIENTO,Hombres,82.0
MEDIO,MEDIO,True,Canarias,"MADERA, MUEBLE Y CORCHO",Hombres,78.0
SUPERIOR,SUPERIOR,True,Canarias,MARÍTIMO-PESQUERA,Hombres,88.8
SUPERIOR,SUPERIOR,True,Canarias,QUÍMICA,Hombres,92.8
BASICO,BASICO,True,Canarias,SANIDAD,Hombres,93.3
MEDIO,MEDIO,True,Canarias,SEGURIDAD Y MEDIO AMBIENTE,Hombres,86.3
MEDIO,BASICO,False,Canarias,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,Hombres,91.5
SUPERIOR,SUPERIOR,True,Canarias,"TEXTIL, CONFECCIÓN Y PIEL",Hombres,90.3
MEDIO,SUPERIOR,False,Canarias,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,Hombres,86.6
MEDIO,BASICO,False,Cantabria,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Hombres,94.7
BASICO,MEDIO,False,Cantabria,ADMINISTRACIÓN Y GESTIÓN,Hombres,93.0
SUPERIOR,SUPERIOR,True,Cantabria,AGRARIA,Hombres,85.3
BASICO,MEDIO,False,Cantabria,ARTES GRÁFICAS,Hombres,87.2
SUPERIOR,MEDIO,False,Cantabria,COMERCIO Y MARKETING,Hombres,94.0
MEDIO,MEDIO,True,Cantabria,EDIFICACIÓN Y OBRA CIVIL,Hombres,92.1
MEDIO,MEDIO,True,Cantabria,ELECTRICIDAD Y ELECTRÓNICA,Hombres,85.6
MEDIO,BASICO,False,Cantabria,ENERGÍA Y AGUA,Hombres,94.8
MEDIO,BASICO,False,Cantabria,FABRICACIÓN MECÁNICA,Hombres,89.5
MEDIO,MEDIO,True,Cantabria,HOSTELERÍA Y TURISMO,Hombres,90.2
MEDIO,SUPERIOR,False,Cantabria,IMAGEN PERSONAL,Hombres,69.4
